Wyszczegolnienie,Rok,Wartosc,Jednostka miary
sklepy,2011,344982,ob
sklepy,2012,357289,ob
sklepy,2013,353562,ob
sklepy,2014,354775,ob
sklepy,2015,360750,ob
sklepy,2016,367011,ob
sklepy,2017,355043,ob
sklepy,2018,339880,ob
sklepy,2019,333340,ob
sklepy,2020,319936,ob
stacje paliw,2011,9596,ob
stacje paliw,2012,9481,ob
stacje paliw,2013,9053,ob
stacje paliw,2014,8905,ob
stacje paliw,2015,8991,ob
stacje paliw,2016,9099,ob
stacje paliw,2017,9326,ob
stacje paliw,2018,9340,ob
stacje paliw,2019,8666,ob
stacje paliw,2020,8120,ob
